일자,계(명),국내발생(명),해외유입(명),사망(명)
2022-04-26,"80,324","80,299",25,82
2022-04-27,"76,751","76,712",39,141
2022-04-28,"57,448","57,423",25,122
2022-04-29,"50,552","50,521",31,136
2022-04-30,"43,269","43,251",18,70
2022-05-01,"37,753","37,716",37,81
2022-05-02,"20,067","20,040",27,83
2022-05-03,"51,110","51,068",42,49
2022-05-04,"49,048","49,014",34,72
2022-05-05,"42,281","42,253",28,79
2022-05-06,"26,691","26,663",28,48
2022-05-07,"39,584","39,557",27,83
2022-05-08,"40,038","40,022",16,71
2022-05-09,"20,581","20,565",16,40
2022-05-10,"49,914","49,891",23,62
2022-05-11,"43,905","43,868",37,29
2022-05-12,"35,889","35,875",14,63
2022-05-13,"32,433","32,419",14,52
2022-05-14,"29,567","29,541",26,55
2022-05-15,"25,418","25,392",26,48
2022-05-16,"13,285","13,258",27,35
2022-05-17,"35,101","35,076",25,27
2022-05-18,"31,337","31,302",35,31
2022-05-19,"28,117","28,103",14,40
2022-05-20,"25,116","25,094",22,43
2022-05-21,"23,447","23,435",12,26
2022-05-22,"19,283","19,258",25,54
2022-05-23,"9,970","9,952",18,22
2022-05-24,"26,332","26,290",42,19
2022-05-25,"23,938","23,917",21,23
2022-05-26,"18,805","18,772",33,34
2022-05-27,"16,567","16,522",45,40
2022-05-28,"14,388","14,344",44,36
2022-05-29,"12,642","12,616",26,19
2022-05-30,"6,132","6,085",47,9
2022-05-31,"17,175","17,132",43,9
2022-06-01,"15,782","15,735",47,21
2022-06-02,"9,882","9,849",33,15
2022-06-03,"12,527","12,492",35,17
2022-06-04,"12,018","11,978",40,9
2022-06-05,"9,825","9,778",47,20
2022-06-06,"5,011","4,994",17,21
2022-06-07,"6,171","6,135",36,20
2022-06-08,"13,335","13,274",61,6
2022-06-09,"12,143","12,080",63,18
2022-06-10,"9,301","9,254",47,18
2022-06-11,"8,432","8,370",62,10
2022-06-12,"7,369","7,290",79,20
2022-06-13,"3,814","3,759",55,17
2022-06-14,"9,761","9,719",42,2
2022-06-15,"9,417","9,318",99,9
2022-06-16,"7,970","7,885",85,8
2022-06-17,"7,185","7,117",68,9
2022-06-18,"6,816","6,739",77,11
2022-06-19,"6,060","5,977",83,14
2022-06-20,"3,516","3,422",94,10
2022-06-21,"9,289","9,216",73,12
2022-06-22,"8,970","8,868",102,11
2022-06-23,"7,487","7,396",91,14
2022-06-24,"7,187","7,075",112,10
2022-06-25,"6,772","6,659",113,18
2022-06-26,"6,234","6,099",135,6
2022-06-27,"3,416","3,305",111,3
2022-06-28,"9,879","9,762",117,5
2022-06-29,"10,428","10,227",201,7
2022-06-30,"9,583","9,439",144,10
2022-07-01,"9,511","9,373",138,8
2022-07-02,"10,701","10,529",172,7
2022-07-03,"10,028","9,845",183,8
2022-07-04,"6,232","6,076",156,4
2022-07-05,"18,114","17,950",164,2
2022-07-06,"19,335","19,112",223,7
2022-07-07,"18,482","18,287",195,10
2022-07-08,"19,286","19,100",186,12
2022-07-09,"20,253","20,037",216,19
2022-07-10,"20,368","20,123",245,19
2022-07-11,"12,666","12,497",169,18
2022-07-12,"37,324","37,073",251,7
2022-07-13,"40,223","39,848",375,12
2022-07-14,"39,139","38,821",318,16
2022-07-15,"38,848","38,588",260,16
2022-07-16,"41,284","41,010",274,16
2022-07-17,"40,306","40,014",292,14
2022-07-18,"26,259","25,944",315,11
2022-07-19,"73,515","73,178",337,12
2022-07-20,"76,333","75,915",418,12
2022-07-21,"71,106","70,800",306,17
2022-07-22,"68,574","68,259",315,31
2022-07-23,"68,510","68,216",294,30
2022-07-24,"65,342","65,033",309,18
2022-07-25,"35,840","35,506",334,17
2022-07-26,"99,199","98,850",349,17
2022-07-27,"100,188","99,661",527,25
2022-07-28,"88,313","87,905",408,25
2022-07-29,"85,246","84,824",422,35
2022-07-30,"81,901","81,517",384,35
2022-07-31,"73,537","73,191",346,20
2022-08-01,"44,611","44,172",439,21
2022-08-02,"111,723","111,164",559,16
2022-08-03,"119,835","119,251",584,26
2022-08-04,"107,821","107,397",424,34
2022-08-05,"112,793","112,312",481,47
2022-08-06,"110,598","110,035",563,45
2022-08-07,"105,435","104,962",473,27
2022-08-08,"55,226","54,756",470,29
2022-08-09,"149,833","149,255",578,40
2022-08-10,"151,706","151,102",604,50
2022-08-11,"137,136","136,635",501,59
2022-08-12,"128,634","128,179",455,58
2022-08-13,"124,515","124,053",462,67
2022-08-14,"119,508","119,060",448,57
2022-08-15,"62,032","61,643",389,50
2022-08-16,"84,076","83,621",455,37
2022-08-17,"180,728","180,168",560,42
2022-08-18,"178,479","177,853",626,61
2022-08-19,"138,741","138,279",462,83
2022-08-20,"129,333","128,849",484,84
2022-08-21,"110,886","110,493",393,64
2022-08-22,"59,006","58,605",401,65
2022-08-23,"150,182","149,690",492,52
2022-08-24,"139,269","138,820",449,63
2022-08-25,"113,329","112,963",366,108
2022-08-26,"101,094","100,743",351,81
2022-08-27,"95,553","95,163",390,86
2022-08-28,"85,212","84,848",364,70
2022-08-29,"43,100","42,749",351,49
2022-08-30,"115,592","115,212",380,71
2022-08-31,"103,901","103,445",456,75
2022-09-01,"81,543","81,249",294,112
2022-09-02,"89,536","89,216",320,64
2022-09-03,"79,698","79,379",319,74
2022-09-04,"72,099","71,864",235,79
2022-09-05,"37,519","37,240",279,56
2022-09-06,"99,793","99,517",276,44
2022-09-07,"85,486","85,155",331,56
2022-09-08,"72,612","72,394",218,64
2022-09-09,"69,376","69,102",274,68
2022-09-10,"42,677","42,446",231,48
2022-09-11,"28,186","27,963",223,47
2022-09-12,"36,911","36,710",201,22
2022-09-13,"57,271","57,005",266,35
2022-09-14,"93,945","93,633",312,60
2022-09-15,"71,436","71,091",345,72
2022-09-16,"51,837","51,497",340,60
2022-09-17,"43,422","43,147",275,57
2022-09-18,"34,728","34,493",235,46
2022-09-19,"19,378","19,101",277,39
2022-09-20,"47,879","47,568",311,24
2022-09-21,"41,251","40,931",320,59
2022-09-22,"32,986","32,732",254,59
2022-09-23,"29,083","28,785",298,68
2022-09-24,"29,324","29,029",295,63
2022-09-25,"25,757","25,515",242,73
2022-09-26,"14,149","13,935",214,33
2022-09-27,"39,391","39,090",301,26
2022-09-28,"36,119","35,745",374,46
2022-09-29,"30,845","30,600",245,46
2022-09-30,"28,484","28,211",273,42
2022-10-01,"26,942","26,646",296,39
2022-10-02,"23,572","23,332",240,44
2022-10-03,"12,141","12,010",131,20
2022-10-04,"16,412","16,306",106,19
2022-10-05,"34,716","34,647",69,16
2022-10-06,"28,632","28,550",82,29
2022-10-07,"22,279","22,225",54,41
2022-10-08,"19,419","19,359",60,32
2022-10-09,"17,645","17,584",61,29
2022-10-10,"8,968","8,921",47,23
2022-10-11,"15,460","15,365",95,10
2022-10-12,"30,509","30,439",70,15
2022-10-13,"26,925","26,858",67,25
2022-10-14,"23,571","23,511",60,35
2022-10-15,"22,824","22,771",53,25
2022-10-16,"21,453","21,366",87,32
2022-10-17,"11,021","10,940",81,10
2022-10-18,"33,215","33,128",87,6
2022-10-19,"29,485","29,413",72,43
2022-10-20,"25,365","25,312",53,23
2022-10-21,"24,725","24,667",58,30
2022-10-22,"26,890","26,842",48,22
2022-10-23,"26,233","26,167",66,16
2022-10-24,"14,296","14,242",54,10
2022-10-25,"43,734","43,662",72,17
2022-10-26,"40,811","40,731",80,26
2022-10-27,"34,969","34,914",55,26
2022-10-28,"35,912","35,852",60,30
2022-10-29,"37,307","37,251",56,31
2022-10-30,"34,490","34,444",46,27
2022-10-31,"18,500","18,444",56,18
2022-11-01,"58,354","58,286",68,33
2022-11-02,"54,729","54,652",77,30
2022-11-03,"46,874","46,819",55,41
2022-11-04,"43,430","43,380",50,35
2022-11-05,"40,887","40,831",56,41
2022-11-06,"36,658","36,592",66,18
2022-11-07,"18,661","18,601",60,18
2022-11-08,"62,258","62,206",52,30
2022-11-09,"62,459","62,417",42,59
2022-11-10,"55,343","55,293",50,52
2022-11-11,"54,495","54,446",49,40
2022-11-12,"54,303","54,245",58,46
2022-11-13,"48,442","48,389",53,48
2022-11-14,"23,747","23,693",54,44
2022-11-15,"72,859","72,809",50,39
2022-11-16,"66,562","66,495",67,47
2022-11-17,"55,410","55,371",39,67
2022-11-18,"49,391","49,326",65,63
2022-11-19,"50,559","50,509",50,65
2022-11-20,"45,994","45,936",58,41
2022-11-21,"23,072","23,011",61,35
2022-11-22,"72,852","72,771",81,45
2022-11-23,"70,295","70,226",69,53
2022-11-24,"59,063","59,008",55,59
2022-11-25,"53,681","53,643",38,55
2022-11-26,"52,773","52,711",62,52
2022-11-27,"47,006","46,936",70,39
2022-11-28,"22,311","22,259",52,44
2022-11-29,"71,460","71,376",84,41
2022-11-30,"67,390","67,307",83,52
2022-12-01,"57,055","57,012",43,62
2022-12-02,"52,970","52,915",55,53
2022-12-03,"52,847","52,792",55,48
2022-12-04,"46,544","46,475",69,60
2022-12-05,"23,150","23,070",80,40
2022-12-06,"77,582","77,498",84,24
2022-12-07,"74,692","74,633",59,54
2022-12-08,"65,231","65,183",48,61
2022-12-09,"62,710","62,660",50,67
2022-12-10,"62,719","62,658",61,54
2022-12-11,"54,293","54,241",52,40
2022-12-12,"25,653","25,590",63,30
2022-12-13,"86,819","86,763",56,29
2022-12-14,"84,546","84,473",73,46
2022-12-15,"70,139","70,101",38,58
2022-12-16,"66,930","66,848",82,66
2022-12-17,"66,904","66,847",57,55
2022-12-18,"58,833","58,748",85,42
2022-12-19,"26,608","26,527",81,39
2022-12-20,"87,521","87,448",73,56
2022-12-21,"88,143","88,074",69,59
2022-12-22,"75,716","75,643",73,62
2022-12-23,"68,141","68,046",95,63
2022-12-24,"66,182","66,116",66,70
2022-12-25,"58,402","58,338",64,46
2022-12-26,"25,523","25,456",67,42
2022-12-27,"87,573","87,507",66,50
2022-12-28,"87,480","87,424",56,69
2022-12-29,"71,392","71,320",72,76
2022-12-30,"65,194","65,125",69,68
2022-12-31,"63,087","63,020",67,61
2023-01-01,"57,492","57,384",108,63
2023-01-02,"22,720","22,684",36,53
2023-01-03,"81,027","80,966",61,29
2023-01-04,"78,541","78,381",160,54
2023-01-05,"64,075","63,887",188,66
2023-01-06,"56,920","56,666",254,75
2023-01-07,"53,770","53,552",218,60
2023-01-08,"46,737","46,606",131,34
2023-01-09,"19,081","18,971",110,35
2023-01-10,"60,019","59,934",85,44
2023-01-11,"54,315","54,202",113,76
2023-01-12,"43,921","43,797",124,71
2023-01-13,"39,700","39,564",136,51
2023-01-14,"36,676","36,578",98,45
2023-01-15,"32,549","32,448",101,37
2023-01-16,"14,127","14,065",62,35
2023-01-17,"40,169","40,078",91,30
2023-01-18,"36,883","36,807",76,43
2023-01-19,"29,800","29,738",62,47
2023-01-20,"27,375","27,285",90,30
2023-01-21,"27,637","27,553",84,51
2023-01-22,"16,612","16,545",67,24
2023-01-23,"9,210","9,156",54,26
2023-01-24,"12,247","12,216",31,10
2023-01-25,"19,521","19,494",27,25
2023-01-26,"35,071","35,041",30,26
2023-01-27,"31,695","31,647",48,36
2023-01-28,"23,590","23,549",41,29
2023-01-29,"18,861","18,824",37,29
2023-01-30,"7,411","7,389",22,30
2023-01-31,"19,611","19,582",29,24
2023-02-01,"20,412","20,384",28,42
2023-02-02,"16,849","16,807",42,36
2023-02-03,"14,951","14,925",26,30
2023-02-04,"14,612","14,572",40,22
2023-02-05,"14,004","13,971",33,22
2023-02-06,"5,847","5,827",20,18
2023-02-07,"16,109","16,080",29,10
2023-02-08,"17,920","17,882",38,22
2023-02-09,"14,658","14,645",13,34
2023-02-10,"13,497","13,458",39,17
2023-02-11,"12,799","12,775",24,16
2023-02-12,"12,038","12,009",29,23
2023-02-13,"5,166","5,150",16,11
2023-02-14,"14,361","14,335",26,11
2023-02-15,"14,948","14,929",19,24
2023-02-16,"12,511","12,487",24,22
2023-02-17,"11,430","11,406",24,28
2023-02-18,"10,714","10,688",26,12
2023-02-19,"10,268","10,245",23,12
2023-02-20,"4,316","4,303",13,9
2023-02-21,"11,867","11,841",26,8
2023-02-22,"13,067","13,035",32,14
2023-02-23,"10,839","10,811",28,22
2023-02-24,"10,037","10,012",25,20
2023-02-25,"10,050","10,021",29,11
2023-02-26,"9,204","9,187",17,6
2023-02-27,"4,016","4,002",14,15
2023-02-28,"10,807","10,777",30,16
2023-03-01,"12,286","12,262",24,11
2023-03-02,"7,547","7,526",21,15
2023-03-03,"10,403","10,383",20,11
2023-03-04,"11,241","11,220",21,6
2023-03-05,"9,807","9,792",15,5
2023-03-06,"4,293","4,274",19,9
2023-03-07,"12,272","12,254",18,15
2023-03-08,"12,787","12,775",12,12
2023-03-09,"10,881","10,874",7,20
2023-03-10,"10,327","10,317",10,12
2023-03-11,"9,999","9,984",15,3
2023-03-12,"9,331","9,318",13,7
2023-03-13,"4,196","4,184",12,12
2023-03-14,"11,397","11,386",11,6
2023-03-15,"11,892","11,871",21,10
2023-03-16,"9,928","9,918",10,17
2023-03-17,"9,061","9,050",11,7
2023-03-18,"9,246","9,231",15,4
2023-03-19,"8,800","8,788",12,3
2023-03-20,"3,924","3,912",12,9
2023-03-21,"12,009","11,992",17,7
2023-03-22,"13,071","13,048",23,9
2023-03-23,"11,395","11,374",21,14
2023-03-24,"10,275","10,261",14,10
2023-03-25,"10,446","10,429",17,6
2023-03-26,"9,354","9,333",21,3
2023-03-27,"4,199","4,190",9,3
2023-03-28,"12,122","12,108",14,8
2023-03-29,"13,127","13,112",15,14
2023-03-30,"11,028","11,015",13,10
2023-03-31,"10,358","10,340",18,10
2023-04-01,"10,515","10,502",13,5
2023-04-02,"9,686","9,668",18,4
2023-04-03,"4,348","4,330",18,7
2023-04-04,"13,363","13,347",16,8
2023-04-05,"14,454","14,444",10,7
2023-04-06,"12,071","12,059",12,13
2023-04-07,"10,724","10,707",17,9
2023-04-08,"10,360","10,346",14,4
2023-04-09,"9,538","9,524",14,2
2023-04-10,"3,995","3,987",8,8
2023-04-11,"12,436","12,413",23,10
2023-04-12,"13,917","13,908",9,14
2023-04-13,"11,589","11,574",15,5
2023-04-14,"11,661","11,646",15,5
2023-04-15,"11,674","11,650",24,2
2023-04-16,"10,182","10,160",22,4
2023-04-17,"4,936","4,914",22,4
2023-04-18,"15,163","15,144",19,10
2023-04-19,"16,495","16,461",34,6
2023-04-20,"14,084","14,062",22,9
2023-04-21,"13,588","13,567",21,7
2023-04-22,"13,789","13,761",28,5
2023-04-23,"11,821","11,800",21,6
2023-04-24,"5,020","5,000",20,8
2023-04-25,"14,809","14,787",22,7
2023-04-26,"16,378","16,365",13,15
2023-04-27,"14,272","14,229",43,11
2023-04-28,"13,778","13,757",21,11
2023-04-29,"14,807","14,772",35,3
2023-04-30,"13,610","13,578",32,5
2023-05-01,"5,771","5,748",23,8
2023-05-02,"15,729","15,702",27,10
2023-05-03,"20,190","20,164",26,8
2023-05-04,"20,139","20,116",23,7
2023-05-05,"18,738","18,701",37,6
2023-05-06,"11,787","11,767",20,3
2023-05-07,"14,734","14,708",26,6
2023-05-08,"8,154","8,121",33,7
2023-05-09,"21,674","21,640",34,14
2023-05-10,"23,513","23,470",43,23
2023-05-11,"20,567","20,535",32,12
2023-05-12,"19,983","19,966",17,8
2023-05-13,"19,341","19,311",30,6
2023-05-14,"17,382","17,365",17,6
2023-05-15,"7,173","7,135",38,7
2023-05-16,"23,670","23,637",33,13
2023-05-17,"26,127","26,088",39,11
2023-05-18,"21,783","21,753",30,18
2023-05-19,"19,576","19,526",50,13
2023-05-20,"18,098","18,079",19,5
2023-05-21,"16,802","16,764",38,5
2023-05-22,"6,794","6,772",22,12
2023-05-23,"21,376","21,333",43,15
2023-05-24,"22,950","22,910",40,17
2023-05-25,"19,070","19,046",24,17
2023-05-26,"17,925","17,897",28,15
2023-05-27,"17,792","17,755",37,3
2023-05-28,"11,724","11,701",23,3
2023-05-29,"6,863","6,844",19,3
2023-05-30,"13,517","13,498",19,7
2023-05-31,"24,405","24,357",48,17
2023-06-01,"24,598","24,565",33,20
2023-06-02,"19,718","19,690",28,11
2023-06-03,"18,736","18,712",24,9
2023-06-04,"16,171","16,155",16,1
2023-06-05,"6,945","6,929",16,2
2023-06-06,"19,506","19,487",19,4
2023-06-07,"15,154","15,133",21,4
2023-06-08,"20,448","20,428",20,21
2023-06-09,"21,211","21,190",21,20
2023-06-10,"17,764","17,744",20,5
2023-06-11,"16,001","15,980",21,8
2023-06-12,"4,977","4,963",14,4
2023-06-13,"20,804","20,785",19,14
2023-06-14,"20,709","20,692",17,14
2023-06-15,"17,418","17,396",22,16
2023-06-16,"16,485","16,473",12,12
2023-06-17,"16,747","16,730",17,4
2023-06-18,"15,316","15,299",17,3
2023-06-19,"6,375","6,365",10,4
2023-06-20,"19,734","19,719",15,4
2023-06-21,"20,961","20,945",16,14
2023-06-22,"17,131","17,098",33,14
2023-06-23,"16,246","16,232",14,10
2023-06-24,"16,413","16,396",17,6
2023-06-25,"16,062","16,054",8,5
2023-06-26,"6,592","6,577",15,4
2023-06-27,"20,847","20,835",12,10
2023-06-28,"21,533","21,512",21,13
2023-06-29,"19,297","19,285",12,12
2023-06-30,"18,877","18,856",21,11
2023-07-01,"18,882","18,862",20,3
2023-07-02,"17,590","17,578",12,2
2023-07-03,"7,513","7,507",6,3
2023-07-04,"25,660","25,647",13,3
2023-07-05,"27,434","27,425",9,11
2023-07-06,"24,356","24,336",20,12
2023-07-07,"24,767","24,753",14,7
2023-07-08,"25,672","25,654",18,3
2023-07-09,"22,566","22,550",16,2
2023-07-10,"9,255","9,249",6,2
2023-07-11,"31,224","31,212",12,6
2023-07-12,"34,118","34,105",13,10
2023-07-13,"29,347","29,335",12,13
2023-07-14,"29,556","29,533",23,4
2023-07-15,"30,870","30,860",10,6
2023-07-16,"28,420","28,407",13,5
2023-07-17,"12,114","12,112",2,4
2023-07-18,"41,993","41,972",21,5
2023-07-19,"47,028","47,018",10,6
2023-07-20,"40,856","40,838",18,10
2023-07-21,"40,897","40,883",14,14
2023-07-22,"42,497","42,480",17,7
2023-07-23,"41,573","41,563",10,7
2023-07-24,"16,778","16,765",13,8
2023-07-25,"50,813","50,803",10,9
2023-07-26,"57,216","57,200",16,18
2023-07-27,"51,239","51,227",12,23
2023-07-28,"48,069","48,059",10,17
2023-07-29,"48,196","48,190",6,6
2023-07-30,"44,749","44,744",5,14
2023-07-31,"18,379","18,373",6,10
2023-08-01,"56,096","56,086",10,9
2023-08-02,"64,148","64,142",6,17
2023-08-03,"55,453","55,446",7,18
2023-08-04,"54,713","54,703",10,17
2023-08-05,"53,111","53,100",11,12
2023-08-06,"48,885","48,874",11,14
2023-08-07,"20,241","20,234",7,11
2023-08-08,"61,377","61,372",5,18
2023-08-09,"65,696","65,681",15,23
2023-08-10,"55,874","55,865",9,25
2023-08-11,"49,335","49,319",16,28
2023-08-12,"47,840","47,831",9,17
2023-08-13,"45,729","45,718",11,15
2023-08-14,"17,226","17,222",4,20
2023-08-15,"47,110","47,095",15,6
2023-08-16,"36,961","36,953",8,16
2023-08-17,"49,848","49,835",13,21
2023-08-18,"50,920","50,910",10,23
2023-08-19,"44,053","44,052",1,22
2023-08-20,"38,974","38,969",5,22
2023-08-21,"14,564","14,554",10,20
2023-08-22,"47,384","47,372",12,22
2023-08-23,"48,161","48,152",9,14
2023-08-24,"40,815","40,807",8,17
2023-08-25,"37,505","37,501",4,24
2023-08-26,"36,886","36,879",7,13
2023-08-27,"32,967","32,960",7,23
2023-08-28,"13,149","13,148",1,12
2023-08-29,"42,998","42,992",6,21
2023-08-30,"42,586","42,576",10,25
2023-08-31,"49,751","49,740",11,76
